sample_id,firm_id,origin,split,decision,document_id,annual_feature_count,candidate_feature_values,verified_feature_values,text_candidate,text_verified,label,industry_status,membership_verified,baseline_ST_verified,registry_label_verified,label_available_date,input_certified,financial_certified,financial_verification_tier,text_verification_tier,unresolved_requirements,baseline_ST_lead,new_ST_followup_lead,lead_is_verified_label,analytical_eligible,reason
000012.SZ:2017,000012.SZ,2017-05-01,train,pending,1203415339,12,12,0,True,False,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000012.SZ:2018,000012.SZ,2018-05-01,train,pending,1204680426,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000012.SZ:2019,000012.SZ,2019-05-01,train,pending,1206041640,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000012.SZ:2020,000012.SZ,2020-05-01,train,eligible_awaiting_freeze,1207683744,12,3,12,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,True,True,manual_source_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000012.SZ:2021,000012.SZ,2021-05-01,train,eligible_awaiting_freeze,1209687499,12,12,12,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,True,True,manual_source_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000012.SZ:2022,000012.SZ,2022-05-01,validation,eligible_awaiting_freeze,1213059469,12,12,12,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,True,True,manual_source_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000012.SZ:2023,000012.SZ,2023-05-01,validation,pending,1216593484,12,12,12,True,True,0,pending,True,True,True,2024-04-30,True,True,manual_source_review,rule_based_source_checks_not_manual_review,historical_industry,0,0,False,False,ST_history_label_and_input_certification_pending
000012.SZ:2024,000012.SZ,2024-05-01,test,eligible_awaiting_freeze,1219823600,12,12,12,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,True,True,manual_source_review,manual_source_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000012.SZ:2025,000012.SZ,2025-05-01,test,pending,1223303879,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000018.SZ:2017,000018.SZ,2017-05-01,train,pending,1203414200,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
