sample_id,firm_id,origin,industry_status,industry_code,industry_public_date,industry_source_page,industry_source_url,baseline_st_name_evidence,baseline_st,st_source_url,st_source_public_date,baseline_quarter,baseline_audit,baseline_status,available_financial_facts,annual_missing,quarterly_missing,completeness_status,screening_status,analytical_eligible
000012.SZ:2017,000012.SZ,2017-05-01,pass_preorigin_classification,C30,2017-02-16,20,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2018,000012.SZ,2018-05-01,pass_preorigin_classification,C30,2018-01-19,24,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2019,000012.SZ,2019-05-01,pass_preorigin_classification,C30,2019-04-19,24,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2020,000012.SZ,2020-05-01,pass_preorigin_classification,C30,2020-04-14,25,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2021,000012.SZ,2021-05-01,pass_preorigin_classification,C30,2021-04-14,28,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2022,000012.SZ,2022-05-01,pass_preorigin_classification,C30,2021-11-10,29,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2023,000012.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2024,000012.SZ,2024-05-01,pass_preorigin_classification,C30,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000012.SZ:2025,000012.SZ,2025-05-01,pass_preorigin_classification,C30,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000018.SZ:2017,000018.SZ,2017-05-01,pass_preorigin_classification,E50,2017-02-16,50,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
