fact_id,firm_id,metric,period_end,basis,scope,raw_value,source_unit,multiplier,sign_adjustment,value_normalized,disclosed_date,document_id,page,url
1207684829:assets:2019-12-31:END:consolidated,000333.SZ,assets,2019-12-31,END,consolidated,301955419,CNY_thousand,1000,1,301955419000,2020-04-30,1207684829,8,https://static.cninfo.com.cn/finalpage/2020-04-30/1207684829.PDF
1207684829:ocf:2019-12-31:YTD:consolidated,000333.SZ,ocf,2019-12-31,YTD,consolidated,38590404,CNY_thousand,1000,1,38590404000,2020-04-30,1207684829,8,https://static.cninfo.com.cn/finalpage/2020-04-30/1207684829.PDF
1207684829:parent_profit:2019-12-31:YTD:parent_attributable,000333.SZ,parent_profit,2019-12-31,YTD,parent_attributable,24211222,CNY_thousand,1000,1,24211222000,2020-04-30,1207684829,8,https://static.cninfo.com.cn/finalpage/2020-04-30/1207684829.PDF
1207684829:revenue:2019-12-31:YTD:consolidated,000333.SZ,revenue,2019-12-31,YTD,consolidated,278216017,CNY_thousand,1000,1,278216017000,2020-04-30,1207684829,8,https://static.cninfo.com.cn/finalpage/2020-04-30/1207684829.PDF
1209870336:assets:2020-12-31:END:consolidated,000333.SZ,assets,2020-12-31,END,consolidated,360382603,CNY_thousand,1000,1,360382603000,2021-04-30,1209870336,9,https://static.cninfo.com.cn/finalpage/2021-04-30/1209870336.PDF
1209870336:ocf:2020-12-31:YTD:consolidated,000333.SZ,ocf,2020-12-31,YTD,consolidated,29557117,CNY_thousand,1000,1,29557117000,2021-04-30,1209870336,9,https://static.cninfo.com.cn/finalpage/2021-04-30/1209870336.PDF
1209870336:parent_profit:2020-12-31:YTD:parent_attributable,000333.SZ,parent_profit,2020-12-31,YTD,parent_attributable,27222969,CNY_thousand,1000,1,27222969000,2021-04-30,1209870336,9,https://static.cninfo.com.cn/finalpage/2021-04-30/1209870336.PDF
1209870336:revenue:2020-12-31:YTD:consolidated,000333.SZ,revenue,2020-12-31,YTD,consolidated,284221249,CNY_thousand,1000,1,284221249000,2021-04-30,1209870336,9,https://static.cninfo.com.cn/finalpage/2021-04-30/1209870336.PDF
1213264815:assets:2021-12-31:END:consolidated,000333.SZ,assets,2021-12-31,END,consolidated,387946104,CNY_thousand,1000,1,387946104000,2022-04-30,1213264815,10,https://static.cninfo.com.cn/finalpage/2022-04-30/1213264815.PDF
1213264815:ocf:2021-12-31:YTD:consolidated,000333.SZ,ocf,2021-12-31,YTD,consolidated,35091704,CNY_thousand,1000,1,35091704000,2022-04-30,1213264815,9,https://static.cninfo.com.cn/finalpage/2022-04-30/1213264815.PDF
1213264815:parent_profit:2021-12-31:YTD:parent_attributable,000333.SZ,parent_profit,2021-12-31,YTD,parent_attributable,28573650,CNY_thousand,1000,1,28573650000,2022-04-30,1213264815,9,https://static.cninfo.com.cn/finalpage/2022-04-30/1213264815.PDF
1213264815:revenue:2021-12-31:YTD:consolidated,000333.SZ,revenue,2021-12-31,YTD,consolidated,341233208,CNY_thousand,1000,1,341233208000,2022-04-30,1213264815,9,https://static.cninfo.com.cn/finalpage/2022-04-30/1213264815.PDF
1216695045:assets:2022-12-31:END:consolidated,000333.SZ,assets,2022-12-31,END,consolidated,422555267,CNY_thousand,1000,1,422555267000,2023-04-29,1216695045,9,https://static.cninfo.com.cn/finalpage/2023-04-29/1216695045.PDF
1216695045:ocf:2022-12-31:YTD:consolidated,000333.SZ,ocf,2022-12-31,YTD,consolidated,34657828,CNY_thousand,1000,1,34657828000,2023-04-29,1216695045,9,https://static.cninfo.com.cn/finalpage/2023-04-29/1216695045.PDF
1216695045:parent_profit:2022-12-31:YTD:parent_attributable,000333.SZ,parent_profit,2022-12-31,YTD,parent_attributable,29553507,CNY_thousand,1000,1,29553507000,2023-04-29,1216695045,9,https://static.cninfo.com.cn/finalpage/2023-04-29/1216695045.PDF
1216695045:revenue:2022-12-31:YTD:consolidated,000333.SZ,revenue,2022-12-31,YTD,consolidated,343917531,CNY_thousand,1000,1,343917531000,2023-04-29,1216695045,9,https://static.cninfo.com.cn/finalpage/2023-04-29/1216695045.PDF
1218197346:net_profit:2023-09-30:YTD:consolidated,003032.SZ,net_profit,2023-09-30,YTD,consolidated,101831814.16,CNY,1,1,101831814.16,2023-10-31,1218197346,7,https://static.cninfo.com.cn/finalpage/2023-10-31/1218197346.PDF
1218197346:ocf:2023-09-30:YTD:consolidated,003032.SZ,ocf,2023-09-30,YTD,consolidated,36385115.77,CNY,1,1,36385115.77,2023-10-31,1218197346,8,https://static.cninfo.com.cn/finalpage/2023-10-31/1218197346.PDF
