sample_id,firm_id,origin,followup_end_exclusive,membership,baseline_ST,registry_label,label_available_date,event_date,event_source_row,status,reason
000012.SZ:2017,000012.SZ,2017-05-01,2018-05-01,verified_listing_interval,0,0,2018-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2018,000012.SZ,2018-05-01,2019-05-01,verified_listing_interval,0,0,2019-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2019,000012.SZ,2019-05-01,2020-05-01,verified_listing_interval,0,0,2020-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2020,000012.SZ,2020-05-01,2021-05-01,verified_listing_interval,0,0,2021-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2021,000012.SZ,2021-05-01,2022-05-01,verified_listing_interval,0,0,2022-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2022,000012.SZ,2022-05-01,2023-05-01,verified_listing_interval,0,0,2023-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2023,000012.SZ,2023-05-01,2024-05-01,verified_listing_interval,0,0,2024-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2024,000012.SZ,2024-05-01,2025-05-01,verified_listing_interval,0,0,2025-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000012.SZ:2025,000012.SZ,2025-05-01,2026-05-01,verified_listing_interval,0,0,2026-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000018.SZ:2017,000018.SZ,2017-05-01,2018-05-01,verified_listing_interval,0,0,2018-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000018.SZ:2018,000018.SZ,2018-05-01,2019-05-01,verified_listing_interval,0,0,2019-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000018.SZ:2019,000018.SZ,2019-05-01,2020-05-01,verified_listing_interval,0,1,2019-05-06,2019-05-06,2784,verified_registry_endpoint,new_ST_name_transition
000019.SZ:2017,000019.SZ,2017-05-01,2018-05-01,verified_listing_interval,0,0,2018-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000019.SZ:2018,000019.SZ,2018-05-01,2019-05-01,verified_listing_interval,0,0,2019-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000019.SZ:2019,000019.SZ,2019-05-01,2020-05-01,verified_listing_interval,0,0,2020-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000019.SZ:2020,000019.SZ,2020-05-01,2021-05-01,verified_listing_interval,0,0,2021-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
000019.SZ:2021,000019.SZ,2021-05-01,2022-05-01,verified_listing_interval,0,0,2022-04-30,,,verified_registry_endpoint,complete_export_no_new_ST_transition
