sample_id,label,baseline_name,event_date,new_unique_id,firm_document_identity,origin_split,public_before_origin,annual_2022,source_selection_matches,listed_at_origin,baseline_not_ST,registry_label_matches,event_date_matches,negative_full_followup,label_available,only_industry_outstanding,financial_certified,text_certified,financial_source_values,ratios_recomputed,consolidated_yuan,current_period_headers,text_nonempty,chunk_roundtrip,pdf_hash_matches,status,failed_checks
000012.SZ:2023,0,南  玻Ａ,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000019.SZ:2023,0,深粮控股,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000048.SZ:2023,0,京基智农,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000055.SZ:2023,0,方大集团,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000068.SZ:2023,0,华控赛格,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000099.SZ:2023,0,中信海直,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000419.SZ:2023,0,通程控股,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000501.SZ:2023,0,武商集团,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000504.SZ:2023,0,南华生物,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000533.SZ:2023,0,顺钠股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000534.SZ:2023,0,万泽股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000545.SZ:2023,0,金浦钛业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000555.SZ:2023,0,神州信息,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000557.SZ:2023,0,西部创业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000576.SZ:2023,0,甘化科工,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000581.SZ:2023,0,威孚高科,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000589.SZ:2023,0,贵州轮胎,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000593.SZ:2023,0,德龙汇能,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000598.SZ:2023,0,兴蓉环境,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000599.SZ:2023,0,青岛双星,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000610.SZ:2023,0,西安旅游,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000612.SZ:2023,0,焦作万方,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000626.SZ:2023,0,远大控股,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000628.SZ:2023,0,高新发展,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000629.SZ:2023,0,钒钛股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000633.SZ:2023,0,合金投资,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000635.SZ:2023,0,英 力 特,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000650.SZ:2023,0,仁和药业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000655.SZ:2023,0,金岭矿业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000656.SZ:2023,1,金科股份,2024-04-24,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000670.SZ:2023,0,盈方微,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000695.SZ:2023,0,滨海能源,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000709.SZ:2023,0,河钢股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000715.SZ:2023,0,中兴商业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000718.SZ:2023,0,苏宁环球,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
