sample_id,split,effective_date,definite_announcement_date,source_url,source_sha256,announcement_before_origin,event_date_source_verified
000504.SZ:2019,train,2019-05-06,2019-04-30,https://static.cninfo.com.cn/finalpage/2019-04-30/1206163375.PDF,2cba2ed7abc8ad9d07fe8031b6276b4f6af934e476de89f8bd9e9f9397859490,True,True
000504.SZ:2024,test,2025-04-30,2025-04-29,https://static.cninfo.com.cn/finalpage/2025-04-29/1223381439.PDF,298c92b37fa377bb55c13e4b34bf9f5884939f963815239c1b7742408d863653,False,True
000585.SZ:2017,train,2018-04-02,2018-03-30,https://static.cninfo.com.cn/finalpage/2018-03-30/1204547582.PDF,d4c8d85021c2ae2763c57291007e019e2421fe59e410bce1f60bf8cc84ce810e,False,True
000610.SZ:2025,test,2026-04-27,2026-04-24,https://static.cninfo.com.cn/finalpage/2026-04-24/1225173668.PDF,4dd0700d4a1bd4cf7b15f13bcda06c975268607484145a3952fcf91dd20cf22d,False,True
000655.SZ:2017,train,2018-04-13,2018-04-12,https://static.cninfo.com.cn/finalpage/2018-04-12/1204617731.PDF,0426fe43840bef5783651cb910c6f2d06bacda0287986e7aae74a9238a919caf,False,True
000668.SZ:2024,test,2025-04-30,2025-04-29,https://static.cninfo.com.cn/finalpage/2025-04-29/1223381549.PDF,7a0dc663033aad5fd083241879835e75ff30686ad8e8d27c8970e66cb4605b5a,False,True
000821.SZ:2025,test,2026-01-20,2026-01-17,https://static.cninfo.com.cn/finalpage/2026-01-17/1224938658.PDF,c5a0d43ed9e0a98d384e8772389451b7d70ed99dcd9d64e024518aa1ac2ebfb0,False,True
000890.SZ:2019,train,2020-04-28,2020-04-25,https://static.cninfo.com.cn/finalpage/2020-04-25/1207607172.PDF,6cdccc04f9045119ebe63534cdde4dcc7aafe21c792cc07445f0d1a0ebc3d419,False,True
000903.SZ:2025,test,2025-07-10,2025-07-09,https://static.cninfo.com.cn/finalpage/2025-07-09/1224104905.PDF,15f64b5d2b12860e4ac40902262ce8805e1769ee10c341332ee8b67114e15f27,False,True
002021.SZ:2018,train,2019-04-30,2019-04-27,https://static.cninfo.com.cn/finalpage/2019-04-27/1206120474.PDF,76519c9d3d46d7562ad6291097c29e219a39e1c8de6303cd4dc3332abf01047f,False,True
002069.SZ:2022,validation,2022-05-06,2022-04-30,https://static.cninfo.com.cn/finalpage/2022-04-30/1213263536.PDF,ca95dca4786f5a97582839561611fa85b3c2773c874779798889796ea1e77525,True,True
002092.SZ:2024,test,2024-05-21,2024-05-18,https://static.cninfo.com.cn/finalpage/2024-05-18/1220091680.PDF,5d658096900ed72867b81022955705f8f718daa75d4c2260f82566e89db43e36,False,True
002102.SZ:2025,test,2026-04-30,2026-04-29,https://static.cninfo.com.cn/finalpage/2026-04-29/1225251583.PDF,8c1109c3d697d11e37e01d7bf3f43bd3c9ea45db6eb13046d4884e6b0da554b3,False,True
002227.SZ:2025,test,2026-04-22,2026-04-21,https://static.cninfo.com.cn/finalpage/2026-04-21/1225133126.PDF,e8445ba89579c4934293d0a9470f691bb1562d757467e8948743139e45805481,False,True
002256.SZ:2019,train,2020-04-27,2020-04-24,https://static.cninfo.com.cn/finalpage/2020-04-24/1207586636.PDF,8c3312db576617802acd9fc3d2d417d42b660b9cd99360e81e477def35d3429c,False,True
002260.SZ:2018,train,2018-05-02,2018-04-27,https://static.cninfo.com.cn/finalpage/2018-04-27/1204808132.PDF,a695fa5021ffed21b5b394df2fe114f8e5de913c19193e77e4a5289d292535ab,True,True
002290.SZ:2019,train,2019-05-06,2019-04-30,https://static.cninfo.com.cn/finalpage/2019-04-30/1206160156.PDF,08c4941bce73ca026f1db7dd6218c21f496d8b8c53f55bae2fa29886da6a25b3,True,True
002309.SZ:2022,validation,2022-05-31,2022-05-30,https://static.cninfo.com.cn/finalpage/2022-05-30/1213529727.PDF,29752d67bb2e7aa49b4d84616cdd262ccdee71284b26400e7b0d40b43349f3db,False,True
002316.SZ:2024,test,2024-08-06,2024-08-05,https://static.cninfo.com.cn/finalpage/2024-08-05/1220789473.PDF,dcaab0a4141fbd79bbfadb17fe8b19d547426fe58e05c050d4ed8033b76a9ba1,False,True
002325.SZ:2024,test,2024-05-06,2024-04-30,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927919.PDF,f471dcd825e14309338d23676a8ba1bf7321e8db851f338edab812970d09c803,True,True
002360.SZ:2025,test,2026-04-29,2026-04-28,https://static.cninfo.com.cn/finalpage/2026-04-28/1225212267.PDF,040c47de983f631f6824307b695edc499fdfdb00acf1be269eb3556035d44adc,False,True
002418.SZ:2019,train,2020-04-30,2020-04-29,https://static.cninfo.com.cn/finalpage/2020-04-29/1207664414.PDF,6dd3f5b1fd7613286701c3e42284c8dc42ebddba2d37ca94d06c93a7947df99f,False,True
000656.SZ:2023,validation,2024-04-24,2024-04-23,https://static.cninfo.com.cn/finalpage/2024-04-23/1219748687.PDF,f3fdf357539b6ae54be76ae6ee881111a8c76b86d9f73ad8037a2dfee190ed84,False,True
000989.SZ:2023,validation,2024-04-26,2024-04-25,https://static.cninfo.com.cn/finalpage/2024-04-25/1219799682.PDF,b3aad78a7a954fc1650f21ae3fb78f142a7033f55335f6517225af991e19a599,False,True
002141.SZ:2023,validation,2024-04-29,2024-04-26,https://static.cninfo.com.cn/finalpage/2024-04-26/1219842591.PDF,9dd955b445225ced1f22e904a4316e620502e8e2130833bfbe60971a6e529ce1,False,True
002310.SZ:2023,validation,2024-04-30,2024-04-27,https://static.cninfo.com.cn/finalpage/2024-04-27/1219871953.PDF,8296bed15c42504059514895bf58c8422bef20fb40aa1fe51ee310060e7adbf9,False,True
