sample_id,v1_included,v2_included,v2_reason,remaining_requirements,financial_scope_flag
000012.SZ:2017,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000012.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000012.SZ:2019,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000012.SZ:2020,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000012.SZ:2021,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000012.SZ:2022,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000012.SZ:2023,False,True,2023 industry corroboration and admission checks passed; consolidated scope retained,,
000012.SZ:2024,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000012.SZ:2025,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000018.SZ:2017,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000018.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000018.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000019.SZ:2017,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000019.SZ:2018,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000019.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000019.SZ:2020,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000019.SZ:2021,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000019.SZ:2022,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000019.SZ:2023,False,True,2023 industry corroboration and admission checks passed; consolidated scope retained,,
000019.SZ:2024,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000019.SZ:2025,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2017,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2020,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2021,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2022,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2023,False,False,ST_history_label_and_input_certification_pending,historical_industry;annual_financial_certification,
000021.SZ:2024,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000021.SZ:2025,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2017,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2020,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2021,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2022,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2023,False,False,ST_history_label_and_input_certification_pending,historical_industry;annual_financial_certification,
000027.SZ:2024,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000027.SZ:2025,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2017,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2020,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2021,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2022,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2023,False,False,ST_history_label_and_input_certification_pending,historical_industry;annual_financial_certification,
000031.SZ:2024,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000031.SZ:2025,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000040.SZ:2017,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000040.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000040.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000040.SZ:2020,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000040.SZ:2021,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000040.SZ:2022,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000040.SZ:2023,False,False,ST_history_label_and_input_certification_pending,historical_industry;annual_financial_certification;annual_text_certification,
000040.SZ:2024,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000042.SZ:2017,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000042.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000042.SZ:2019,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000042.SZ:2020,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000042.SZ:2021,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000042.SZ:2022,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000042.SZ:2023,False,False,ST_history_label_and_input_certification_pending,historical_industry;annual_financial_certification,
000042.SZ:2024,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000042.SZ:2025,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000048.SZ:2017,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000048.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000048.SZ:2019,False,False,preorigin_financial_industry_or_confirmed_baseline_ST,,
000048.SZ:2020,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000048.SZ:2021,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000048.SZ:2022,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000048.SZ:2023,False,True,2023 industry corroboration and admission checks passed; consolidated scope retained,,
000048.SZ:2024,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000048.SZ:2025,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2017,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
000055.SZ:2019,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2020,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2021,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2022,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2023,False,True,2023 industry corroboration and admission checks passed; consolidated scope retained,,
000055.SZ:2024,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000055.SZ:2025,True,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.,,
000068.SZ:2017,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification;annual_text_certification,
000068.SZ:2018,False,False,ST_history_label_and_input_certification_pending,annual_financial_certification,
