sample_id,industry_prior_code,industry_public_date,industry_source_url,industry_source_page,requirements,label,document_id,report_url,report_disclosed_date,mda_page,original_classification_row,annual_pdf_sha256,original_classification_row_found,annual_pdf_matches_archive,status,exact_2023_code_certified
000012.SZ:2023,C30,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,29,historical_industry,0,1216593484,https://static.cninfo.com.cn/finalpage/2023-04-26/1216593484.PDF,2023-04-26,10,30 非金属矿物制品业 000012 南玻A,96901ad86005480986789a0b078443181a3944d180e0a92b5354d67bad339df8,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000019.SZ:2023,F51,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,78,historical_industry,0,1216603127,https://static.cninfo.com.cn/finalpage/2023-04-26/1216603127.PDF,2023-04-26,10,批发和零售业(F) 51 批发业 000019 深粮控股,a3b808dd98fdd449d2a817f87a9270513f91015b0f3c62d0aa3e284570b41737,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000048.SZ:2023,C13,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,4,historical_industry,0,1216116016,https://static.cninfo.com.cn/finalpage/2023-03-15/1216116016.PDF,2023-03-15,10,制造业(C) 13 农副食品加工业 000048 京基智农,637e9dfb8f04e7279e95b7afbac5e08d19ae3bfdb7fd16ae2bee8ec9247432e8,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000055.SZ:2023,C33,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,34,historical_industry,0,1215991129,https://static.cninfo.com.cn/finalpage/2023-02-28/1215991129.PDF,2023-02-28,10,000055 方大集团,5c245b47f40147537c87bb7aed25f7b76ff75ac9d3e08035244aeabcf98d84d6,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000068.SZ:2023,M74,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,102,historical_industry,0,1216701006,https://static.cninfo.com.cn/finalpage/2023-04-29/1216701006.PDF,2023-04-29,11,74 专业技术服务业 000068 华控赛格,9967e1882a305531105b2d5554a97f4f7026acb601792dd5d7a5c1bc2c645c6e,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000099.SZ:2023,G56,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,84,historical_industry,0,1216191084,https://static.cninfo.com.cn/finalpage/2023-03-23/1216191084.PDF,2023-03-23,10,000099 中信海直,e3e267b4bcdab395483379ac0ec80651d4d4bbb677e7fc315859ea8f6538b3f4,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000419.SZ:2023,F52,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,80,historical_industry,0,1216355030,https://static.cninfo.com.cn/finalpage/2023-04-08/1216355030.PDF,2023-04-08,10,000419 通程控股,a69eeac19a9c2813f55bab3f5faa1c4a313a1574f5df1afd03007fb2fa88f4fe,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000501.SZ:2023,F52,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,80,historical_industry,0,1216277052,https://static.cninfo.com.cn/finalpage/2023-03-31/1216277052.PDF,2023-03-31,10,000501 鄂武商A,7795cc9b705158e2b3b91032eae0ccb8d1052e7577115bf2afa8eeceaee1af75,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000504.SZ:2023,M75,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,103,historical_industry,0,1216688529,https://static.cninfo.com.cn/finalpage/2023-04-29/1216688529.PDF,2023-04-29,11,75 科技推广和应用服务业 000504 南华生物,f42335c248d43a3ffb741bde6b8b60e2a6a9eccb9d0873d5b1dc34057f1fe1e8,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000533.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,53,historical_industry,0,1216417085,https://static.cninfo.com.cn/finalpage/2023-04-15/1216417085.PDF,2023-04-15,11,000533 顺钠股份,52d61eb0704523e1d6a5582ce246bd6a89823bfc828ae02c81485d9d39d656d3,True,True,source_chain_recovered; current_sector_adjudication_pending,False
000534.SZ:2023,C27,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,20,historical_industry,0,1215991366,https://static.cninfo.com.cn/finalpage/2023-02-28/1215991366.PDF,2023-02-28,10,000534 万泽股份,3150548f043d3d9b93ba48097032d84d4190b0a2dc8adc1423b745fbbeb1647e,True,True,source_chain_recovered; current_sector_adjudication_pending,False
