author,year,locator_used,supported_statement,source_url,verification_scope,status
Altman,1968,p. 589,Ratio analysis combined with multiple discriminant analysis,https://mx.nthu.edu.tw/~jtyang/Teaching/Corporate_Governance/Papers/Altman%201968.pdf,PDF physical page 2 visually inspected,verified
Beaver,1966,"pp. 71, 100",Financial ratios; explicit description of univariate analysis,https://www.scribd.com/document/700042955/Beaver-FinancialRatiosPredictors-1966,"Reproduced original paper text, printed pages 71 and 100; metadata checked with Stanford/JSTOR",verified
Campbell et al.,2008,"Abstract, para. 1",Dynamic logit using accounting and market variables,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2008.01416.x,Publisher abstract and metadata verified; paginated paper not retrieved,published page locator pending
Che et al.,2024,accepted manuscript p. 1,"Attentive regularized multimodal model including indicators, reports and networks",https://cronfa.swan.ac.uk/Record/cronfa65837,Author accepted manuscript page 1; publisher-linked DOI and metadata,verified
Hajek and Munk,2024,"Abstract, para. 1",Contextual linguistic representation; semi-supervised prediction,https://www.sciencedirect.com/science/article/pii/S0306457324001791,Publisher abstract and highlights; claim restricted to that scope,published page locator pending
Jiang et al.,2022,"Abstract, para. 1",Semantic features from current reports for unlisted Chinese public firms,https://www.sciencedirect.com/science/article/abs/pii/S0169207021001114,"Publisher abstract, authors, year, volume, pages and DOI",published page locator pending
Kogan et al.,2009,p. 272,Future stock-return volatility from financial-report text,https://aclanthology.org/N09-1031.pdf,Official ACL paper page 272 and metadata,verified
Loughran and McDonald,2011,"Abstract, para. 1",General negative-word dictionaries misclassify financial text,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.2010.01625.x,Publisher abstract and bibliographic metadata,published page locator pending
Mai et al.,2019,p. 743,Deep textual representations for bankruptcy forecasting,https://www.fengmai.net/wp-content/uploads/2019/05/Mai2019-Deep-learning-models-for-bankruptcy-prediction-using-textual-EJOR.pdf,Author-hosted published article page 743,verified
Matin et al.,2018,p. 1,Deep textual representations for corporate distress,https://arxiv.org/abs/1811.05270,"Actual inspected 2018 preprint cited, rather than assigning its page numbers to the 2019 journal edition",verified version-specific
Ohlson,1980,p. 109,Probabilistic bankruptcy model using conditional logit,https://www.scribd.com/document/254540989/Financial-Ratios-and-the-Probabilistic-Prediction-of-Bankruptcy,Reproduced original paper introduction; publication metadata checked,verified
Shumway,2001,p. 101,Hazard approach to bankruptcy forecasting,https://www.tylergshumway.org/Shumway-ForecastingBankruptcyAccurately-2001.pdf,"Author-hosted published article page 101, physical PDF page 2",verified
Vaswani et al.,2017,pp. 3–4,Query/key/value attention and multihead projection,https://papers.nips.cc/paper/7181-attention-is-all-you-need.pdf,"Official paper internal printed pages 3–4, not inferred from proceedings page range",verified version-specific
Zmijewski,1984,p. 59,Estimation and sample-selection issues,https://www.scribd.com/document/1073218779/Zmijewski-1984-Methodological-Issues-Related-to-the-Estimation-of-Financial-Distress-Prediction-Models,"Reproduced original article page 59, not the platform-generated summary",verified
