reference,link,checked_date,http_status,final_url,identity_check,access_result,printed_page_followup
"Altman, E. I. (1968). Financial Ratios, Discriminant Analysis and the Prediction of Corporate Bankruptcy. The Journal of Finance, 23(4), 589–609. https://doi.org/10.1111/j.1540-6261.1968.tb00843.x",https://doi.org/10.1111/j.1540-6261.1968.tb00843.x,2026-09-14,403,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1968.tb00843.x,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",DOI resolves correctly; Wiley publisher blocks automated access (HTTP 403); not a dead link,none
"Beaver, W. H. (1966). Financial Ratios as Predictors of Failure. Journal of Accounting Research, 4, 71–111. https://doi.org/10.2307/2490171",https://doi.org/10.2307/2490171,2026-09-14,200,https://www.jstor.org/stable/10.2307/2490171?origin=crossref,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",Accessible (HTTP 200),none
"Campbell, J. Y., Hilscher, J., & Szilagyi, J. (2008). In Search of Distress Risk [Abstract]. The Journal of Finance, 63(6), 2899–2939. https://doi.org/10.1111/j.1540-6261.2008.01416.x",https://doi.org/10.1111/j.1540-6261.2008.01416.x,2026-09-14,403,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2008.01416.x,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",DOI resolves correctly; Wiley publisher blocks automated access (HTTP 403); not a dead link,pending
"Che, W., Wang, Z., Jiang, C., & Abedin, M. Z. (2024). Predicting Financial Distress Using Multimodal Data: An Attentive and Regularized Deep Learning Method. Information Processing & Management, 61(4), 103703. https://doi.org/10.1016/j.ipm.2024.103703",https://doi.org/10.1016/j.ipm.2024.103703,2026-09-14,200,https://linkinghub.elsevier.com/retrieve/pii/S0306457324000633,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",Accessible (HTTP 200),none
"Hajek, P., & Munk, M. (2024). Corporate Financial Distress Prediction Using the Risk-Related Information Content of Annual Reports [Abstract]. Information Processing & Management, 61(5), 103820. https://doi.org/10.1016/j.ipm.2024.103820",https://doi.org/10.1016/j.ipm.2024.103820,2026-09-14,200,https://linkinghub.elsevier.com/retrieve/pii/S0306457324001791,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",Accessible (HTTP 200),pending
"Jiang, C., Lyu, X., Yuan, Y., Wang, Z., & Ding, Y. (2022). Mining Semantic Features in Current Reports for Financial Distress Prediction: Empirical Evidence from Unlisted Public Firms in China [Abstract]. International Journal of Forecasting, 38(3), 1086–1099. https://doi.org/10.1016/j.ijforecast.2021.06.011",https://doi.org/10.1016/j.ijforecast.2021.06.011,2026-09-14,200,https://linkinghub.elsevier.com/retrieve/pii/S0169207021001114,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",Accessible (HTTP 200),pending
"Kogan, S., Levin, D., Routledge, B. R., Sagi, J. S., & Smith, N. A. (2009). Predicting Risk from Financial Reports with Regression. In Proceedings of Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the ACL (pp. 272–280). Association for Computational Linguistics. https://aclanthology.org/N09-1031/",https://aclanthology.org/N09-1031/,2026-09-14,200,https://aclanthology.org/N09-1031/,"Title, authors and year matched to official ACL / arXiv / NeurIPS source record",Accessible (HTTP 200),none
"Loughran, T., & McDonald, B. (2011). When Is a Liability Not a Liability? Textual Analysis, Dictionaries, and 10-Ks. The Journal of Finance, 66(1), 35–65. https://doi.org/10.1111/j.1540-6261.2010.01625.x",https://doi.org/10.1111/j.1540-6261.2010.01625.x,2026-09-14,403,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2010.01625.x,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",DOI resolves correctly; Wiley publisher blocks automated access (HTTP 403); not a dead link,none
"Mai, F., Tian, S., Lee, C., & Ma, L. (2019). Deep Learning Models for Bankruptcy Prediction Using Textual Disclosures. European Journal of Operational Research, 274(2), 743–758. https://doi.org/10.1016/j.ejor.2018.10.024",https://doi.org/10.1016/j.ejor.2018.10.024,2026-09-14,200,https://linkinghub.elsevier.com/retrieve/pii/S0377221718308774,"Correct DOI, title, author list and publication matched to Crossref and publisher/source record",Accessible (HTTP 200),none
"Matin, R., Hansen, C., Hansen, C., & Mølgaard, P. (2018). Predicting Distresses Using Deep Learning of Text Segments in Annual Reports [Preprint]. arXiv:1811.05270. https://arxiv.org/abs/1811.05270",https://arxiv.org/abs/1811.05270,2026-09-14,200,https://arxiv.org/abs/1811.05270,"Title, authors and year matched to official ACL / arXiv / NeurIPS source record",Accessible (HTTP 200),none
