,liabilities_assets,current_ratio,quick_ratio,net_profit_end_assets,net_profit_end_equity,operating_margin,net_margin,receivables_assets,inventory_assets,ocf_assets,ocf_current_liabilities,management_expense_revenue
liabilities_assets,1.0,-0.6972790103756676,-0.7038617911099619,-0.3208099749513936,-0.1416566954615877,-0.2308174070604971,-0.2357447911470874,0.121296174811125,0.3333893211586407,-0.2176631956291167,-0.4039127858133908,-0.0438137296333312
current_ratio,-0.6972790103756676,1.0,0.9724993959920056,0.1675406364191207,0.0639668439474963,0.1074608073800271,0.1089453389272565,-0.0403671765423757,-0.0749113780600026,0.0239263417936618,0.2985764253515781,0.1835457662780278
quick_ratio,-0.7038617911099619,0.9724993959920056,1.0,0.162292589986574,0.0561273571119537,0.1353583345648945,0.1353465727997228,-0.0251592213366498,-0.2615282217098182,0.0416102961899377,0.3255292549009513,0.1415594851589404
net_profit_end_assets,-0.3208099749513936,0.1675406364191207,0.162292589986574,1.0,0.3749290380469049,0.5887671769026074,0.6018358559207344,-0.131378484629959,-0.0292120486470309,0.4041429584236635,0.3142434018837025,-0.1617868267707728
net_profit_end_equity,-0.1416566954615877,0.0639668439474963,0.0561273571119537,0.3749290380469049,1.0,0.6730342632164847,0.7109957721414646,-0.0018503773267817,0.0310544206599421,0.0719571070792296,0.0718227678214259,-0.1259675328384379
operating_margin,-0.2308174070604971,0.1074608073800271,0.1353583345648945,0.5887671769026074,0.6730342632164847,1.0,0.9879312972041912,-0.0463105235039943,-0.0547622189557259,0.2173411368775863,0.2078623688810929,-0.5452592335601777
net_margin,-0.2357447911470874,0.1089453389272566,0.1353465727997228,0.6018358559207343,0.7109957721414646,0.9879312972041914,1.0,-0.0411824500377029,-0.0622257238729946,0.209168759445438,0.1992818549900878,-0.5019021169476444
receivables_assets,0.1212961748111249,-0.0403671765423757,-0.0251592213366498,-0.131378484629959,-0.0018503773267817,-0.0463105235039943,-0.0411824500377029,1.0,-0.0106791784508499,-0.1927142401516845,-0.1642058933277596,-0.0848060157573877
inventory_assets,0.3333893211586407,-0.0749113780600026,-0.2615282217098182,-0.0292120486470309,0.0310544206599421,-0.0547622189557259,-0.0622257238729946,-0.0106791784508499,1.0,-0.0806466013544003,-0.1665226552512026,0.056367092078501
ocf_assets,-0.2176631956291167,0.0239263417936618,0.0416102961899377,0.4041429584236634,0.0719571070792296,0.2173411368775864,0.209168759445438,-0.1927142401516846,-0.0806466013544003,0.9999999999999998,0.7273620001140161,-0.2062965700633823
ocf_current_liabilities,-0.4039127858133908,0.2985764253515781,0.3255292549009513,0.3142434018837025,0.0718227678214259,0.2078623688810929,0.1992818549900878,-0.1642058933277596,-0.1665226552512026,0.7273620001140161,1.0,-0.1474844715521681
management_expense_revenue,-0.0438137296333312,0.1835457662780278,0.1415594851589404,-0.1617868267707728,-0.1259675328384378,-0.5452592335601778,-0.5019021169476444,-0.0848060157573877,0.056367092078501,-0.2062965700633823,-0.1474844715521681,0.9999999999999998
