model,seed,annual_budget,n,positive,alerts,TP,FP,FN,TN,precision,recall,alert_share
financial_only,17,0.05,216,11,11,4,7,7,198,0.36363636363636365,0.36363636363636365,0.05092592592592592
financial_only,17,0.1,216,11,22,5,17,6,188,0.22727272727272727,0.45454545454545453,0.10185185185185185
financial_only,17,0.2,216,11,44,9,35,2,170,0.20454545454545456,0.8181818181818182,0.2037037037037037
financial_only,42,0.05,216,11,11,4,7,7,198,0.36363636363636365,0.36363636363636365,0.05092592592592592
financial_only,42,0.1,216,11,22,4,18,7,187,0.18181818181818182,0.36363636363636365,0.10185185185185185
financial_only,42,0.2,216,11,44,8,36,3,169,0.18181818181818182,0.7272727272727273,0.2037037037037037
financial_only,2026,0.05,216,11,11,4,7,7,198,0.36363636363636365,0.36363636363636365,0.05092592592592592
financial_only,2026,0.1,216,11,22,4,18,7,187,0.18181818181818182,0.36363636363636365,0.10185185185185185
financial_only,2026,0.2,216,11,44,10,34,1,171,0.22727272727272727,0.9090909090909091,0.2037037037037037
text_only,17,0.05,216,11,11,1,10,10,195,0.09090909090909091,0.09090909090909091,0.05092592592592592
text_only,17,0.1,216,11,22,1,21,10,184,0.045454545454545456,0.09090909090909091,0.10185185185185185
text_only,17,0.2,216,11,44,1,43,10,162,0.022727272727272728,0.09090909090909091,0.2037037037037037
text_only,42,0.05,216,11,11,0,11,11,194,0.0,0.0,0.05092592592592592
text_only,42,0.1,216,11,22,1,21,10,184,0.045454545454545456,0.09090909090909091,0.10185185185185185
text_only,42,0.2,216,11,44,1,43,10,162,0.022727272727272728,0.09090909090909091,0.2037037037037037
text_only,2026,0.05,216,11,11,1,10,10,195,0.09090909090909091,0.09090909090909091,0.05092592592592592
text_only,2026,0.1,216,11,22,1,21,10,184,0.045454545454545456,0.09090909090909091,0.10185185185185185
text_only,2026,0.2,216,11,44,2,42,9,163,0.045454545454545456,0.18181818181818182,0.2037037037037037
concat,17,0.05,216,11,11,4,7,7,198,0.36363636363636365,0.36363636363636365,0.05092592592592592
concat,17,0.1,216,11,22,5,17,6,188,0.22727272727272727,0.45454545454545453,0.10185185185185185
concat,17,0.2,216,11,44,8,36,3,169,0.18181818181818182,0.7272727272727273,0.2037037037037037
concat,42,0.05,216,11,11,3,8,8,197,0.2727272727272727,0.2727272727272727,0.05092592592592592
concat,42,0.1,216,11,22,4,18,7,187,0.18181818181818182,0.36363636363636365,0.10185185185185185
concat,42,0.2,216,11,44,9,35,2,170,0.20454545454545456,0.8181818181818182,0.2037037037037037
concat,2026,0.05,216,11,11,4,7,7,198,0.36363636363636365,0.36363636363636365,0.05092592592592592
concat,2026,0.1,216,11,22,5,17,6,188,0.22727272727272727,0.45454545454545453,0.10185185185185185
concat,2026,0.2,216,11,44,10,34,1,171,0.22727272727272727,0.9090909090909091,0.2037037037037037
cross_attention,17,0.05,216,11,11,3,8,8,197,0.2727272727272727,0.2727272727272727,0.05092592592592592
cross_attention,17,0.1,216,11,22,4,18,7,187,0.18181818181818182,0.36363636363636365,0.10185185185185185
cross_attention,17,0.2,216,11,44,9,35,2,170,0.20454545454545456,0.8181818181818182,0.2037037037037037
cross_attention,42,0.05,216,11,11,3,8,8,197,0.2727272727272727,0.2727272727272727,0.05092592592592592
cross_attention,42,0.1,216,11,22,4,18,7,187,0.18181818181818182,0.36363636363636365,0.10185185185185185
cross_attention,42,0.2,216,11,44,9,35,2,170,0.20454545454545456,0.8181818181818182,0.2037037037037037
cross_attention,2026,0.05,216,11,11,3,8,8,197,0.2727272727272727,0.2727272727272727,0.05092592592592592
cross_attention,2026,0.1,216,11,22,4,18,7,187,0.18181818181818182,0.36363636363636365,0.10185185185185185
cross_attention,2026,0.2,216,11,44,8,36,3,169,0.18181818181818182,0.7272727272727273,0.2037037037037037
logistic_regression,0,0.05,216,11,11,2,9,9,196,0.18181818181818182,0.18181818181818182,0.05092592592592592
logistic_regression,0,0.1,216,11,22,3,19,8,186,0.13636363636363635,0.2727272727272727,0.10185185185185185
logistic_regression,0,0.2,216,11,44,6,38,5,167,0.13636363636363635,0.5454545454545454,0.2037037037037037
