model,seed,excluded_confirmed_preannounced,n,positive,alerts,TP,FP,FN,TN,precision,recall,alert_share
financial_only,17,002325.SZ:2024,215,10,2,1,1,9,204,0.5,0.1,0.009302325581395349
financial_only,42,002325.SZ:2024,215,10,1,0,1,10,204,0.0,0.0,0.004651162790697674
financial_only,2026,002325.SZ:2024,215,10,1,0,1,10,204,0.0,0.0,0.004651162790697674
text_only,17,002325.SZ:2024,215,10,16,1,15,9,190,0.0625,0.1,0.07441860465116279
text_only,42,002325.SZ:2024,215,10,72,4,68,6,137,0.05555555555555555,0.4,0.33488372093023255
text_only,2026,002325.SZ:2024,215,10,84,5,79,5,126,0.05952380952380952,0.5,0.39069767441860465
concat,17,002325.SZ:2024,215,10,2,1,1,9,204,0.5,0.1,0.009302325581395349
concat,42,002325.SZ:2024,215,10,1,0,1,10,204,0.0,0.0,0.004651162790697674
concat,2026,002325.SZ:2024,215,10,0,0,0,10,205,0,0.0,0.0
cross_attention,17,002325.SZ:2024,215,10,2,1,1,9,204,0.5,0.1,0.009302325581395349
cross_attention,42,002325.SZ:2024,215,10,0,0,0,10,205,0,0.0,0.0
cross_attention,2026,002325.SZ:2024,215,10,0,0,0,10,205,0,0.0,0.0
logistic_regression,0,002325.SZ:2024,215,10,5,1,4,9,201,0.2,0.1,0.023255813953488372
